to,total_transactions,total_eth
\x40949225c4a1745a9946f6aaf763241c082cb9ac,29,7.85868018
\x00789b1c3d583e3057c264888afc2c38e4aff5b7,28,91.0
\x5208d7f63a089906889a5a9caed81e9c889e64f8,22,0.009211
\xcb37118cd8ea90a7a5561310ebca9456736ec021,11,4.695
\xe36dbb07ea7e2de50aaa26a82feb7fdfc12f89a0,5,0.72
\x13327392fe03a814e9eb9f575a7566bd0d75c096,3,0.0
\x29c161aa9aa6f9d2e32f4843b7f3893274db7412,3,4.196
\x879a965b7fc2aecc808942010a68af66e0490355,3,0.807
\xda23d471cc2562d0e48bdf2d26dd6d2a001809a9,3,7.016085134
\x1794065ff9c3b4e8bc3d3a0657bfa290eabfc62e,2,3.555013
\xb93a7088a1be4b13d8da7f8bb6a31dc47c625b32,2,0.983658
\xa019ae3d0c21743d8f6cc586ca5aec8557afee9c,2,2.14822949
\xe85568a630c2974272b4812589e5d6451bb51a57,2,0.99
\x5d0912f989720abb3df0327acccc652ee8f56474,2,0.3
\xc6b1953ab35f05db745dadd5ce411d75758a7898,2,0.0
\x2bb1432305898d3b9a05d6b4ab968f856ac40069,1,0.5
\x9b07b9e7f3cf534c525c94d9bdc9f3f41ee483b4,1,0.009139
\x1f7b49a0a0879e3da5ea9170100230c4a1304981,1,0.0377907
\x7e9a7ea8a62a576c06d57621c52e893718909a99,1,0.0598
\xb84c60544032f9f009af7478225680d9a5b8e862,1,3.95529315
\xfbca19b37ed5af4cfc2322968e109e27692f8e01,1,0.071044
\x6f62e434c2a3797c82a178ac97a50006af76f6cf,1,0.10871
\x1caa9083539aad1558165939d1eee81bb66b18f8,1,1.02084509
\xc4bab5d4034865f7d5ee9d3624cc8ba35b717843,1,0.249044
\x24e41c93514ebcfa0f76f5f081231201a8814b1f,1,1.595
\x8354c02f1a69d22b44a74b7bb4dcee50eec8869c,1,0.02394118
\x04e2378f701efacb8ec0fdeba17ea5be093dad8a,1,0.01936048
\x4c9d7eae0f5a9306d9f091373988e997f227a71a,1,0.09243
\x0fc0bb08f48dc3d541fc3a1dd072a682e014a722,1,0.02668413
\x336a3f0c4d40b1e39cee72e2e59330daf484848c,1,0.0001
\x68aacf41fa22ecd5ca0bb102da46b0f503e2e168,1,0.1
\xa07009dc993b3db6b436b17d5318d62ef7805e88,1,0.02510925
\x70a1934c9373965156c61cdc060818a3b97b94e6,1,16.86131168
\x579e95a5298b72d20bbd542bf0598b5d331ddd27,1,0.03761269
\xcf83f3aa1ba4dbf340ebe3531bf99d2a89e2483c,1,0.25
\x7d6bfa4c8a73b4b90adb89095e4ca1db812b7f91,1,3.1660302945355e-05
\x7fe5aa3f065516a9ebb73832d4eb52ae91643f03,1,0.052
\xffb0f94442c4ed8f66c1c5c69e857eeb1532553b,1,0.55797196
\x439e6225e6ec877aefdf6918c8ba816426d66fc8,1,0.09669288
\xaf97f11a40fc33a6e57318dadf1f5eec73375f8c,1,0.5
\xcc6ec41e882bec626914cea0c2cc876429a717be,1,0.99958
\x4e8db9c625f3fb5268c8bfbe6f94d934486a421d,1,0.03012455
\x878ea56fa1a98b6341c9633fe4c32755c7626e0a,1,0.07888
\x49ab519dffb152acb231ede67deb02a278e5f51d,1,0.03514379
\x4c88f6c66e85d6158b244677f048697d4db1f7cf,1,0.028126
\x4da71a9d541a85bc0cb6e53b8daa7d02e5fa09a1,1,0.02883602
\xad5a3e75407bebe845dc81a211e7f007aeea8d0b,1,0.176455
\x426dfc05bc5d99630112dbbd522b9ee2d993fc32,1,0.0001827918255273
\x680abdfee950f4401e9093f26ce04d93bac1af03,1,1.887753
\x2583e35cdf067f4c9172593000e80e7f881ce4cb,1,4.69832878
\xaafae6690d3c4605a313649116632d89b2d64d94,1,0.0598
\xac83821dbbde2543f0497488c8fd7ae24cc8afe4,1,0.05
\x56ed69541f806b4cbd1d6d8373971a41d5658e25,1,0.02834
\x127bd661dbae34818ad2e5af508d3a27bdac723e,1,0.125
\xf46c8baad536e0dab3d1180da1411489b32624d4,1,0.03188915
\x4ef9a9031d531275fdb9ea370e6ee7d0135667cc,1,3.1357300077777777
\xacb41bbc8503de6e9587b9056b40c37e5c841a37,1,0.02454
\xa8daa52ded91f7c82b4bb02b4b87c6a841db1fd5,1,0.0
\x6770ff4c0d0b426a2292fd64ebdf8770d3e206fd,1,0.03719648
\xce365d8287b3128dd62db3839f33fac3ecfcbe2b,1,0.111521
\x3e58d0921d63e1529a315b972d94467d71fa633c,1,0.003517
\xdad92dd16f56e975b57467e8b27b0509e917ba02,1,0.20406
\xadd0d48039bc5125bf3b7b01da0439b85b74810e,1,0.09911369
\x0806fb31e52fc208901e0bbbfce8dc6abc876e51,1,0.06075678
\xf3e77ac5e5726dd369442a01e6c032b787ee72fc,1,0.100257
\xba71b4ff9336877a717b2dea756c484e5dbdd053,1,0.201319
\x6289d070a0070e49c21fb9b24a626a765bf51c0a,1,1.24731183
\x02a13a0f0e52c5706d123430bed318133bc2c7a7,1,0.999139
\xda1d8986861926688b0880eac08728f568d8b53f,1,0.775651
\x3c73fac7926e6f02252238216b080e5697699a9d,1,0.05027
\xdc06bbc5bd96663548edb12f81800fdec61d4c28,1,0.01869826
\xe01685afc33d58476c143bbd165c8ced965752a3,1,0.01118388
\x2c646bf4939e0c1769789c3568776e708b92c8d5,1,0.03710893
\x22f5c254cc9959ddabe10be3ce59225ad461006a,1,0.00683239
\x781e98b534eee79138d9453174d79aaffe1a54c1,1,0.194141
\x0a9bc669aec89e13cec376d2559378d8510e16b3,1,0.02771
\x32fd6c99540953d5feff63933629d5b1b0631648,1,0.499139
\xd743e68edc3341308a05754e23bfc8ec4a2feb3c,1,9.34441929
\x7e2b784ee4f159676d29740d5c9416a2fbfdd812,1,0.0575227243
\x4bddcbc1458ca81e8760fbe90e0f4c68fe3d087a,1,38.43713436
\x5ad999e810f7d55cbe312965d4c22d98da8d8e76,1,0.0324002
\xa4570dff0e534757b5bce0db9e119b7bc0d5aaa9,1,0.02471608
\xef99cdbd5cd2f0e2f62f3495760ff61687f71a64,1,0.4899139
\x108618d38a435f0b189590cc38ec3bd40fcc964e,1,0.069
\x4b1a507aa707d0951c56d9b1486b4a79215860d7,1,0.0349
\x573970345dbe436532d404f8898b9452f5d806ea,1,0.02888421
\xb3764761e297d6f121e79c32a65829cd1ddb4d32,1,0.0001
\xfc4e6e887f03bed2c194ca4c8d8f41eeb9e2a331,1,0.14513
\x9eec88c3d02b5a39193127ac14a125b7f0610b28,1,0.01251346
\xec75167604aaad0434752ad2c1d5863d4bf76895,1,0.02487
\x9474a5e0831c1cc71438fea2746a2aab9f34d4b6,1,0.12088
\x513ec82743eda08cf233b9255bd85812ebb888fd,1,0.00950485
\x7fdfaa3154d3cb82e90f5fde8c52a95d66211705,1,0.003433
\x6fddaa1bb2c3a01e80779442fddfef1ff7e7921f,1,0.07
\x93e79a0591fd3cb26807af65e787705c8dcd6f1c,1,0.03172
\x1f965d094abc3c99fb2063764c8ac6a54b7046f8,1,0.188911
\xaec2cc8986bb14c0c604d5adf725ba33920102bc,1,0.0001
\xf9ff11640d29aabcbf99554b135b09905588d592,1,0.01529682
\xc469d1c94887bdd02ee3c7bf9cc80b1d41f3ccbc,1,2.0001621898800006
\xcbd02526e0854001f97e13004a4bded8474409a1,1,0.311565
\x813ca840322e3795702300bb3ebaf7aee9af9536,1,1.999958
\xd52c412b295c24833bb28f2b532a771a7c7974e5,1,1.0
